"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name","dma2_name"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","SIOUX FALLS-SD"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","SOUTH BEND-IN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","SPOKANE-WA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","ST. JOSEPH-MO"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","TOPEKA-KS"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","TRAVERSE CITY-MI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","TRI CITIES-TN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","WEST PALM BEACH-FL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","WHEELING-WV"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","WICHITA-KS"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","WILMINGTON-NC"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","YAKIMA-WA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","2_4","ZANESVILLE-OH"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_1","LOS ANGELES-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_2","DALLAS-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_2","HOUSTON-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_2","SAN FRANCISCO-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_3","AUSTIN-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_3","FRESNO/VISALIA-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_3","RALEIGH-NC"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_3","RICHMOND-VA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_3","SAN DIEGO-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_3","SEATTLE-WA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","ABILENE-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","ALBANY-GA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","AMARILLO-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","ANCHORAGE-AK"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","BAKERSFIELD-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","BATON ROUGE-LA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","BEAUMONT/PORT ARTHUR-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","CASPER/RIVERTON-WY"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","CHARLOTTESVILLE"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","CHICO/REDDING-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","CORPUS CHRISTI-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","DOTHAN-AL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","EL PASO-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","EUGENE-OR"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","EUREKA-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","FAIRBANKS-AK"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","FAYETTEVILLE/FT.SMIT-AR"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","HONOLULU-HI"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","JACKSON-TN"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","LAFAYETTE-LA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","LAKE CHARLES-LA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","LAREDO-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","LUBBOCK-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","MCALLEN-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","MIDLAND-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","MONROE/EL DORADO-LA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","MONTEREY/SALINAS-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","NEW ORLEANS-LA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","NORTH PLATTE-NE"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","PALM SPRINGS-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","RENO-NV"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","ROANOKE/LYNCHBURG-VA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","SAN ANGELO-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","SAN ANTONIO-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","SANTA BARBARA-CA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","SAVANNAH-GA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","SHERMAN/ADA-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","SHREVEPORT-LA"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","TALLAHASSEE/THOMASVILLE-FL"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","TEXARKANA-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","TUCSON-AZ"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","TULSA-OK"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","TWIN FALLS-ID"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","TYLER/LONGVIEW-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","VICTORIA-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","WACO/TEMPLE/BRYAN-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","WICHITA FALLS-TX"
"Hispanic","Desktop","Non-Brand","Search PLA","Existing Loyal NKC","3_4","YUMA-AZ"
