week_id,sales1_name,factor
40,Existing Non-Loyal KC,-8314824.608
41,Existing Non-Loyal KC,369420.7201
42,Existing Non-Loyal KC,3102867.529
43,Existing Non-Loyal KC,-16700308.57
44,Existing Non-Loyal KC,-8379616.904
45,Existing Non-Loyal KC,18925700.52
46,Existing Non-Loyal KC,8313698.452
47,Existing Non-Loyal KC,22959875.86
48,Existing Non-Loyal KC,17873080.68
49,Existing Non-Loyal KC,64365175.24
50,Existing Non-Loyal KC,79012006.38
51,Existing Non-Loyal KC,54537196.13
52,Existing Non-Loyal KC,31013250.79
1,Existing Non-Loyal NKC,-2894442.727
2,Existing Non-Loyal NKC,-2716369.823
3,Existing Non-Loyal NKC,-2581025.131
4,Existing Non-Loyal NKC,-2802595.989
5,Existing Non-Loyal NKC,-2894442.727
6,Existing Non-Loyal NKC,-2716369.823
7,Existing Non-Loyal NKC,-2581025.131
8,Existing Non-Loyal NKC,-2802595.989
9,Existing Non-Loyal NKC,-354342.388
10,Existing Non-Loyal NKC,-76534.46126
11,Existing Non-Loyal NKC,255439.9277
12,Existing Non-Loyal NKC,-208886.9672
13,Existing Non-Loyal NKC,28932.52751
14,Existing Non-Loyal NKC,220293.9241
15,Existing Non-Loyal NKC,560144.2032
16,Existing Non-Loyal NKC,248684.6786
17,Existing Non-Loyal NKC,364230.749
18,Existing Non-Loyal NKC,2123842.772
19,Existing Non-Loyal NKC,1601932.002
20,Existing Non-Loyal NKC,1737775.607
21,Existing Non-Loyal NKC,1798074.334
22,Existing Non-Loyal NKC,25253.61789
23,Existing Non-Loyal NKC,164594.9923
24,Existing Non-Loyal NKC,-138046.4716
25,Existing Non-Loyal NKC,-197225.1003
26,Existing Non-Loyal NKC,-343136.4789
27,Existing Non-Loyal NKC,-820694.0952
28,Existing Non-Loyal NKC,-823049.3401
29,Existing Non-Loyal NKC,-722005.0289
30,Existing Non-Loyal NKC,-328976.4891
31,Existing Non-Loyal NKC,2602817.721
32,Existing Non-Loyal NKC,1654797.725
33,Existing Non-Loyal NKC,1742211.144
34,Existing Non-Loyal NKC,1772435.259
35,Existing Non-Loyal NKC,1509807.548
36,Existing Non-Loyal NKC,-1166252.806
37,Existing Non-Loyal NKC,-28206.69572
38,Existing Non-Loyal NKC,-331239.5559
39,Existing Non-Loyal NKC,98602.53578
40,Existing Non-Loyal NKC,123271.2019
41,Existing Non-Loyal NKC,-62141.39975
42,Existing Non-Loyal NKC,-262686.0782
43,Existing Non-Loyal NKC,-215429.2302
44,Existing Non-Loyal NKC,4311215.433
45,Existing Non-Loyal NKC,4441859.023
46,Existing Non-Loyal NKC,4669166.508
47,Existing Non-Loyal NKC,7099240.698
48,Existing Non-Loyal NKC,27249813.66
49,Existing Non-Loyal NKC,18646585.9
50,Existing Non-Loyal NKC,19417471.74
51,Existing Non-Loyal NKC,18634664.28
52,Existing Non-Loyal NKC,22829959.34
1,New Loyal KC,-102389.7161
2,New Loyal KC,-91191.58519
3,New Loyal KC,-95566.55438
4,New Loyal KC,-100317.1013
5,New Loyal KC,-102389.7161
6,New Loyal KC,-91191.58519
7,New Loyal KC,-95566.55438
8,New Loyal KC,-100317.1013
9,New Loyal KC,-64591.73058
10,New Loyal KC,-54826.20128
11,New Loyal KC,-67974.3729
12,New Loyal KC,-62716.24776
13,New Loyal KC,-59708.51294
14,New Loyal KC,-60680.82872
15,New Loyal KC,-45069.41114
16,New Loyal KC,-57931.67413
17,New Loyal KC,-50919.10512
18,New Loyal KC,-56392.00337
19,New Loyal KC,-60010.92877
20,New Loyal KC,-54233.31638
21,New Loyal KC,-71766.06759
22,New Loyal KC,-59787.25016
23,New Loyal KC,-65065.37462
24,New Loyal KC,-55809.33405
25,New Loyal KC,-69822.43203
26,New Loyal KC,-75671.94109
27,New Loyal KC,-91185.24662
28,New Loyal KC,-89769.66269
29,New Loyal KC,-103755.797
30,New Loyal KC,-101226.2403
31,New Loyal KC,-3612.046905
32,New Loyal KC,197.0724016
33,New Loyal KC,-8316.591111
34,New Loyal KC,-16956.18278
35,New Loyal KC,-37953.82267
36,New Loyal KC,-46527.02063
37,New Loyal KC,-62867.19231
38,New Loyal KC,-55834.31488
39,New Loyal KC,-37134.19295
40,New Loyal KC,-28695.3359
41,New Loyal KC,-5114.205436
42,New Loyal KC,-7453.949636
43,New Loyal KC,-18557.76545
44,New Loyal KC,86907.01252
45,New Loyal KC,139164.9086
46,New Loyal KC,152933.5049
47,New Loyal KC,497817.1797
48,New Loyal KC,219769.0453
49,New Loyal KC,201348.5028
50,New Loyal KC,304192.0007
51,New Loyal KC,259222.7757
52,New Loyal KC,51380.15012
1,New Loyal NKC,56903.145
2,New Loyal NKC,63479.24955
3,New Loyal NKC,70931.99751
4,New Loyal NKC,45288.83787
5,New Loyal NKC,56903.145
6,New Loyal NKC,63479.24955
7,New Loyal NKC,70931.99751
8,New Loyal NKC,45288.83787
9,New Loyal NKC,81616.14071
10,New Loyal NKC,81847.07082
11,New Loyal NKC,96272.67118
12,New Loyal NKC,67349.18564
13,New Loyal NKC,91299.3816
14,New Loyal NKC,18111.91284
15,New Loyal NKC,19134.95382
16,New Loyal NKC,-42884.20235
17,New Loyal NKC,-29553.07084
18,New Loyal NKC,17297.07146
19,New Loyal NKC,-27663.02333
20,New Loyal NKC,-26821.46052
21,New Loyal NKC,-25450.14403
22,New Loyal NKC,-55096.42317
23,New Loyal NKC,-75398.45169
24,New Loyal NKC,-68118.69876
25,New Loyal NKC,-68682.77912
26,New Loyal NKC,-87656.39119
27,New Loyal NKC,-62930.40064
28,New Loyal NKC,-68456.05445
29,New Loyal NKC,-45645.55585
30,New Loyal NKC,-9764.45364
31,New Loyal NKC,10032.05165
32,New Loyal NKC,-14013.28001
33,New Loyal NKC,-14937.24172
34,New Loyal NKC,-8611.521903
35,New Loyal NKC,-40298.29483
36,New Loyal NKC,-164135.3755
37,New Loyal NKC,-189076.0414
38,New Loyal NKC,-182936.1171
39,New Loyal NKC,-152410.3876
40,New Loyal NKC,-131767.2266
41,New Loyal NKC,-135380.4465
42,New Loyal NKC,-146420.319
43,New Loyal NKC,-135577.994
44,New Loyal NKC,253926.6023
45,New Loyal NKC,270265.3104
46,New Loyal NKC,358317.2405
47,New Loyal NKC,2856654.671
48,New Loyal NKC,574454.4478
49,New Loyal NKC,227452.6085
50,New Loyal NKC,418813.0393
51,New Loyal NKC,336203.2192
52,New Loyal NKC,144357.2384
1,New Non-Loyal KC,-235507.6099
2,New Non-Loyal KC,-33832.52037
3,New Non-Loyal KC,-140793.0544
4,New Non-Loyal KC,-222469.3213
5,New Non-Loyal KC,-235507.6099
6,New Non-Loyal KC,-33832.52037
7,New Non-Loyal KC,-140793.0544
8,New Non-Loyal KC,-222469.3213
9,New Non-Loyal KC,-102534.3431
10,New Non-Loyal KC,14382.49797
11,New Non-Loyal KC,-250973.5281
12,New Non-Loyal KC,-83661.15618
13,New Non-Loyal KC,-78746.49506
14,New Non-Loyal KC,-90465.36139
15,New Non-Loyal KC,-35691.94054
16,New Non-Loyal KC,-85215.12717
17,New Non-Loyal KC,-78064.46819
18,New Non-Loyal KC,-63990.65812
19,New Non-Loyal KC,684.2770377
20,New Non-Loyal KC,-22483.57096
21,New Non-Loyal KC,-88912.01317
22,New Non-Loyal KC,-63825.78005
23,New Non-Loyal KC,-110121.5673
24,New Non-Loyal KC,-22648.32981
